Company Name,Location,Datum,Detail,Status Rocket, Rocket,Status Mission
CASC,"Taiyuan, China",Sep 05 2024 18:30 UTC,Geely Constellation 03,Long March 6,StatusActive,30.0,Success
SpaceX,"Cape Canaveral, USA",Sep 05 2024 15:33 UTC,Starlink Group 8-11,Falcon 9 Block 5,StatusActive,52.0,Success
ESA,"Kourou, French Guiana",Sep 04 2024 21:50 UTC,Sentinel-2C,Vega,StatusRetired,37.0,Success
CASC,"Xichang, China",Sep 03 2024 01:22 UTC,Yaogan 43-03,Long March 4B,StatusActive,35.0,Success
SpaceX,"Vandenberg, USA",Aug 31 2024 08:48 UTC,Starlink Group 9-5,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",Aug 31 2024 07:43 UTC,Starlink Group 8-10,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Vandenberg, USA",Aug 28 2024 07:48 UTC,Starlink Group 8-6,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Xichang, China",Aug 22 2024 12:25 UTC,Chinasat 4A,Long March 7A,StatusActive,60.0,Success
SpaceX,"Cape Canaveral, USA",Aug 20 2024 13:20 UTC,Starlink Group 10-5,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Vandenberg, USA",Aug 16 2024 18:56 UTC,Transporter-11 (Rideshare),Falcon 9 Block 5,StatusActive,52.0,Success
ISRO,"Sriharikota, India",Aug 16 2024 03:47 UTC,EOS-08,SSLV,StatusActive,20.0,Success
Roscosmos,"Baikonur, Kazakhstan",Aug 15 2024 03:20 UTC,Progress MS-28,Soyuz 2.1a,StatusActive,48.5,Success
SpaceX,"Kennedy Space Center, USA",Aug 12 2024 10:37 UTC,Starlink Group 10-8,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Xichang, China",Aug 12 2024 03:03 UTC,Yaogan 43-02,Long March 4B,StatusActive,35.0,Success
SpaceX,"Vandenberg, USA",Aug 12 2024 02:02 UTC,ASBM-1 & 2 (HEO Broadband),Falcon 9 Block 5,StatusActive,62.0,Success
SpaceX,"Kennedy Space Center, USA",Aug 10 2024 23:32 UTC,Starlink Group 10-7,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Vandenberg, USA",Aug 10 2024 12:50 UTC,Starlink Group 8-3,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Taiyuan, China",Aug 06 2024 06:42 UTC,Qianfan Polar Group 01,Long March 6A,StatusActive,40.0,Success
SpaceX,"Cape Canaveral, USA",Aug 04 2024 15:02 UTC,Cygnus NG-21 (ISS Cargo),Falcon 9 Block 5,StatusActive,62.0,Success
SpaceX,"Vandenberg, USA",Aug 04 2024 07:24 UTC,Starlink Group 11-1,Falcon 9 Block 5,StatusActive,52.0,Success
Rocket Lab,"Mahia, New Zealand",Aug 02 2024 16:39 UTC,Owl For One (StriX-4),Electron,StatusActive,7.5,Success
SpaceX,"Kennedy Space Center, USA",Aug 02 2024 05:01 UTC,Starlink Group 10-6,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Xichang, China",Aug 01 2024 13:14 UTC,Hulianwang Gaogui-02,Long March 3B/E,StatusActive,50.0,Success
ULA,"Cape Canaveral, USA",July 30 2024 10:45 UTC,USSF-51,Atlas V 551,StatusActive,155.0,Success
SpaceX,"Vandenberg, USA",July 28 2024 09:22 UTC,Starlink Group 9-4,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",July 28 2024 05:09 UTC,Starlink Group 10-4,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Kennedy Space Center, USA",July 27 2024 05:45 UTC,Starlink Group 10-9,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Xichang, China",July 19 2024 03:03 UTC,Gaofen 11-05,Long March 4B,StatusActive,35.0,Success
CASC,"Xichang, China",July 18 2024 03:03 UTC,Yaogan 43-01,Long March 4B,StatusActive,35.0,Success
SpaceX,"Vandenberg, USA",July 12 2024 02:35 UTC,Starlink Group 9-3,Falcon 9 Block 5,StatusActive,52.0,Failure
i-Space,"Jiuquan, China",July 11 2024 23:40 UTC,Unknown Payload,Hyperbola-1,StatusActive,10.0,Failure
CGSTL,"Yellow Sea, China",July 10 2024 23:40 UTC,Yunyao-1 15-17,Jielong 3,StatusActive,20.0,Success
ESA,"Kourou, French Guiana",July 09 2024 19:00 UTC,Ariane 6 Maiden Flight,Ariane 62,StatusActive,115.0,Success
SpaceX,"Cape Canaveral, USA",July 08 2024 23:30 UTC,Türksat 6A,Falcon 9 Block 5,StatusActive,62.0,Success
CASC,"Taiyuan, China",July 04 2024 22:49 UTC,Tianhui 5C/5D,Long March 6A,StatusActive,40.0,Success
Firefly,"Vandenberg, USA",July 04 2024 04:03 UTC,Noise of Summer (ELaNa 43),Firefly Alpha,StatusActive,15.0,Success
SpaceX,"Cape Canaveral, USA",July 03 2024 08:55 UTC,Starlink Group 8-9,Falcon 9 Block 5,StatusActive,52.0,Success
JAXA,"Tanegashima, Japan",July 01 2024 03:06 UTC,ALOS-4 (Daichi-4),H3-22S,StatusActive,90.0,Success
CASC,"Wenchang, China",June 29 2024 11:57 UTC,Shiyan 24B,Long March 7A,StatusActive,60.0,Success
SpaceX,"Vandenberg, USA",June 29 2024 03:14 UTC,Starlink Group 10-9,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",June 27 2024 11:14 UTC,Starlink Group 10-3,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Kennedy Space Center, USA",June 25 2024 21:16 UTC,GOES-U,Falcon Heavy,StatusActive,150.0,Success
SpaceX,"Vandenberg, USA",June 24 2024 03:47 UTC,Starlink Group 9-2,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",June 23 2024 17:15 UTC,Starlink Group 10-2,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Xichang, China",June 22 2024 07:00 UTC,SVOM (X-ray Telescope),Long March 2C,StatusActive,45.0,Success
Rocket Lab,"Mahia, New Zealand",June 20 2024 18:13 UTC,No Time To Spy,Electron,StatusActive,7.5,Success
SpaceX,"Vandenberg, USA",June 18 2024 03:40 UTC,Starlink Group 9-1,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Vandenberg, USA",June 08 2024 12:58 UTC,Starlink Group 8-8,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",June 08 2024 01:56 UTC,Starlink Group 10-1,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Starbase, USA",June 06 2024 12:50 UTC,Starship IFT-4,Starship,StatusActive,200.0,Success
ULA,"Cape Canaveral, USA",June 05 2024 14:52 UTC,Starliner Crew Flight Test,Atlas V N22,StatusActive,150.0,Success
SpaceX,"Cape Canaveral, USA",June 05 2024 02:16 UTC,Starlink Group 8-5,Falcon 9 Block 5,StatusActive,52.0,Success
Rocket Lab,"Mahia, New Zealand",June 05 2024 03:15 UTC,PREFIRE Mission 2,Electron,StatusActive,7.5,Success
SpaceX,"Cape Canaveral, USA",June 01 2024 02:37 UTC,Starlink Group 6-64,Falcon 9 Block 5,StatusActive,52.0,Success
Galactic Energy,"Jiuquan, China",May 30 2024 23:39 UTC,Jitianxing A-01 & others,Ceres-1,StatusActive,6.0,Success
Roscosmos,"Baikonur, Kazakhstan",May 30 2024 09:42 UTC,Progress MS-27,Soyuz 2.1a,StatusActive,48.5,Success
Galactic Energy,"Yellow Sea, China",May 29 2024 08:12 UTC,Tianqi 25-28,Ceres-1S,StatusActive,6.0,Success
SpaceX,"Vandenberg, USA",May 28 2024 22:20 UTC,EarthCARE (ESA/JAXA),Falcon 9 Block 5,StatusActive,150.0,Success
SpaceX,"Cape Canaveral, USA",May 28 2024 14:24 UTC,Starlink Group 6-60,Falcon 9 Block 5,StatusActive,52.0,Success
NADA,"Sohae, North Korea",May 27 2024 13:44 UTC,Malligyong-1-1,Chollima-1,StatusActive,10.0,Failure
LandSpace,"Jiuquan, China",May 27 2024 12:12 UTC,Unknown Payload,Zhuque-2,StatusActive,15.0,Success
Rocket Lab,"Mahia, New Zealand",May 25 2024 07:15 UTC,PREFIRE Mission 1,Electron,StatusActive,7.5,Success
SpaceX,"Kennedy Space Center, USA",May 24 2024 02:45 UTC,Starlink Group 6-63,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",May 23 2024 02:35 UTC,Starlink Group 6-62,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Vandenberg, USA",May 22 2024 08:00 UTC,NROL-146 (Starshield),Falcon 9 Block 5,StatusActive,62.0,Success
CASC,"Jiuquan, China",May 21 2024 04:15 UTC,Yaogan 42-04,Long March 4C,StatusActive,35.0,Success
CASC,"Jiuquan, China",May 20 2024 03:06 UTC,Beijing-3C,Long March 2D,StatusActive,29.7,Success
SpaceX,"Cape Canaveral, USA",May 17 2024 21:32 UTC,Starlink Group 6-59,Falcon 9 Block 5,StatusActive,52.0,Success
VKS,"Plesetsk, Russia",May 16 2024 21:21 UTC,Kosmos 2576 (Classified),Soyuz 2.1b,StatusActive,48.5,Success
SpaceX,"Vandenberg, USA",May 14 2024 18:39 UTC,Starlink Group 8-7,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",May 13 2024 00:53 UTC,Starlink Group 6-58,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Jiuquan, China",May 11 2024 23:43 UTC,Shiyan 23,Long March 4C,StatusActive,35.0,Success
SpaceX,"Vandenberg, USA",May 10 2024 04:30 UTC,Starlink Group 8-2,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Xichang, China",May 09 2024 01:43 UTC,Zhihui Tianwang 1-01,Long March 3B/E,StatusActive,50.0,Success
SpaceX,"Kennedy Space Center, USA",May 08 2024 18:42 UTC,Starlink Group 6-56,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Taiyuan, China",May 07 2024 03:21 UTC,Haiwangxing-01 & others,Long March 6C,StatusActive,30.0,Success
SpaceX,"Cape Canaveral, USA",May 06 2024 18:14 UTC,Starlink Group 6-57,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Wenchang, China",May 03 2024 09:27 UTC,Chang'e 6 (Lunar Sample Return),Long March 5,StatusActive,150.0,Success
SpaceX,"Cape Canaveral, USA",May 03 2024 02:37 UTC,Starlink Group 6-55,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Vandenberg, USA",May 02 2024 18:36 UTC,WorldView Legion 1 & 2,Falcon 9 Block 5,StatusActive,62.0,Success
SpaceX,"Cape Canaveral, USA",Apr 28 2024 21:50 UTC,Starlink Group 6-54,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Kennedy Space Center, USA",Apr 28 2024 00:34 UTC,Galileo L12 (FOC FM25/26),Falcon 9 Block 5,StatusActive,70.0,Success
CASC,"Jiuquan, China",Apr 25 2024 12:59 UTC,Shenzhou 18 (Crewed),Long March 2F/G,StatusActive,150.0,Success
Rocket Lab,"Mahia, New Zealand",Apr 23 2024 23:32 UTC,Beginning Of The Swarm,Electron,StatusActive,7.5,Success
SpaceX,"Cape Canaveral, USA",Apr 23 2024 22:17 UTC,Starlink Group 6-53,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Xichang, China",Apr 21 2024 02:45 UTC,Yaogan 42-02,Long March 2D,StatusActive,29.7,Success
SpaceX,"Cape Canaveral, USA",Apr 18 2024 22:40 UTC,Starlink Group 6-52,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Kennedy Space Center, USA",Apr 17 2024 21:26 UTC,Starlink Group 6-51,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Jiuquan, China",Apr 15 2024 04:12 UTC,Siwei Gaojing 3-01,Long March 2D,StatusActive,29.7,Success
SpaceX,"Cape Canaveral, USA",Apr 13 2024 01:40 UTC,Starlink Group 6-49,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Vandenberg, USA",Apr 11 2024 14:25 UTC,USSF-62 (WSF-M),Falcon 9 Block 5,StatusActive,62.0,Success
ULA,"Cape Canaveral, USA",Apr 09 2024 16:53 UTC,NROL-70,Delta IV Heavy,StatusRetired,350.0,Success
SpaceX,"Kennedy Space Center, USA",Apr 10 2024 05:40 UTC,Starlink Group 6-49,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Kennedy Space Center, USA",Apr 07 2024 23:16 UTC,Starlink Group 6-48,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Vandenberg, USA",Apr 07 2024 02:25 UTC,Starlink Group 7-19,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",Apr 05 2024 09:12 UTC,Starlink Group 6-47,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Xichang, China",Apr 03 2024 22:56 UTC,Yaogan 42-01,Long March 2D,StatusActive,29.7,Success
SpaceX,"Vandenberg, USA",Apr 02 2024 02:30 UTC,Starlink Group 7-18,Falcon 9 Block 5,StatusActive,52.0,Success
Roscosmos,"Baikonur, Kazakhstan",Mar 31 2024 09:36 UTC,Resurs-P No.4,Soyuz 2.1b,StatusActive,48.5,Success
SpaceX,"Kennedy Space Center, USA",Mar 31 2024 01:30 UTC,Starlink Group 6-45,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Taiyuan, China",Mar 27 2024 22:33 UTC,Yunhai-3 02,Long March 6A,StatusActive,40.0,Success
SpaceX,"Cape Canaveral, USA",Mar 25 2024 23:42 UTC,Starlink Group 6-46,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Kennedy Space Center, USA",Mar 24 2024 03:09 UTC,Starlink Group 6-42,Falcon 9 Block 5,StatusActive,52.0,Success
Roscosmos,"Baikonur, Kazakhstan",Mar 23 2024 12:36 UTC,Soyuz MS-25 (Crewed),Soyuz 2.1a,StatusActive,90.0,Success
SpaceX,"Cape Canaveral, USA",Mar 21 2024 20:55 UTC,SpaceX CRS-30,Falcon 9 Block 5,StatusActive,62.0,Success
CASC,"Jiuquan, China",Mar 21 2024 05:27 UTC,Yunhai-2 07-12,Long March 2D,StatusActive,29.7,Success
CASC,"Wenchang, China",Mar 20 2024 00:31 UTC,Queqiao-2,Long March 8,StatusActive,40.0,Success
SpaceX,"Vandenberg, USA",Mar 19 2024 02:28 UTC,Starlink Group 7-16,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",Mar 15 2024 00:21 UTC,Starlink Group 6-44,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Starbase, USA",Mar 14 2024 13:25 UTC,Starship IFT-3,Starship,StatusActive,200.0,Success
CASC,"Xichang, China",Mar 13 2024 12:51 UTC,DRO A/B,Long March 2C,StatusActive,25.0,Partial Failure
Space One,"Kushimoto, Japan",Mar 13 2024 02:01 UTC,Quick Response Sat,KAIROS,StatusActive,10.0,Failure
Rocket Lab,"Mahia, New Zealand",Mar 12 2024 15:03 UTC,StriX-3,Electron,StatusActive,7.5,Success
SpaceX,"Vandenberg, USA",Mar 11 2024 04:09 UTC,Starlink Group 7-17,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",Mar 10 2024 23:05 UTC,Starlink Group 6-43,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",Mar 04 2024 23:56 UTC,Starlink Group 6-41,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Vandenberg, USA",Mar 04 2024 22:05 UTC,Transporter-10,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Kennedy Space Center, USA",Mar 04 2024 03:53 UTC,Crew-8 (ISS),Falcon 9 Block 5,StatusActive,145.0,Success
SpaceX,"Cape Canaveral, USA",Feb 29 2024 15:30 UTC,Starlink Group 6-40,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Xichang, China",Feb 29 2024 13:03 UTC,HGW-01,Long March 3B/E,StatusActive,50.0,Success
Roscosmos,"Vostochny, Russia",Feb 29 2024 05:43 UTC,Meteor M2-4,Soyuz 2.1b / Fregat,StatusActive,48.5,Success
SpaceX,"Cape Canaveral, USA",Feb 23 2024 04:11 UTC,Starlink Group 6-39,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Wenchang, China",Feb 22 2024 11:30 UTC,TJS 11,Long March 5,StatusActive,150.0,Success
SpaceX,"Vandenberg, USA",Feb 22 2024 04:11 UTC,Starlink Group 7-15,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",Feb 20 2024 20:11 UTC,Merah Putih 2,Falcon 9 Block 5,StatusActive,62.0,Success
Rocket Lab,"Mahia, New Zealand",Feb 18 2024 14:52 UTC,On Closer Inspection,Electron,StatusActive,7.5,Success
ISRO,"Sriharikota, India",Feb 17 2024 12:05 UTC,Insat 3DS,GSLV Mk II,StatusActive,40.0,Success
JAXA,"Tanegashima, Japan",Feb 17 2024 00:22 UTC,RTF Mission,H3-22,StatusActive,50.0,Success
SpaceX,"Vandenberg, USA",Feb 15 2024 21:34 UTC,Starlink Group 7-14,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Kennedy Space Center, USA",Feb 15 2024 06:05 UTC,IM-1 (Odysseus),Falcon 9 Block 5,StatusActive,118.0,Success
Roscosmos,"Baikonur, Kazakhstan",Feb 15 2024 03:25 UTC,Progress MS-26,Soyuz 2.1a,StatusActive,48.5,Success
SpaceX,"Cape Canaveral, USA",Feb 14 2024 22:30 UTC,USSF-124 (HBTSS),Falcon 9 Block 5,StatusActive,62.0,Success
SpaceX,"Vandenberg, USA",Feb 10 2024 00:34 UTC,Starlink Group 7-13,Falcon 9 Block 5,StatusActive,52.0,Success
VKS,"Plesetsk, Russia",Feb 09 2024 07:03 UTC,Kosmos 2575,Soyuz 2.1v,StatusRetired,35.0,Success
SpaceX,"Cape Canaveral, USA",Feb 08 2024 06:33 UTC,PACE,Falcon 9 Block 5,StatusActive,145.0,Success
China Rocket,"Yellow Sea, China",Feb 03 2024 03:06 UTC,Multiple Satellites,Jielong 3,StatusActive,20.0,Success
CASC,"Xichang, China",Feb 03 2024 23:37 UTC,Geely-02 01-11,Long March 2C,StatusActive,25.0,Success
Rocket Lab,"Mahia, New Zealand",Jan 31 2024 06:34 UTC,Four Of A Kind,Electron,StatusActive,7.5,Success
SpaceX,"Cape Canaveral, USA",Jan 30 2024 17:07 UTC,Cygnus NG-20,Falcon 9 Block 5,StatusActive,62.0,Success
SpaceX,"Vandenberg, USA",Jan 29 2024 05:57 UTC,Starlink Group 7-12,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Kennedy Space Center, USA",Jan 29 2024 01:10 UTC,Starlink Group 6-38,Falcon 9 Block 5,StatusActive,52.0,Success
ISA,"Semnan, Iran",Jan 28 2024 00:00 UTC,Mahda / Hatef 1 / Kaihan 2,Simorgh,StatusActive,15.0,Success
SpaceX,"Vandenberg, USA",Jan 23 2024 00:35 UTC,Starlink Group 7-11,Falcon 9 Block 5,StatusActive,52.0,Success
CAS Space,"Jiuquan, China",Jan 22 2024 04:03 UTC,Taijing-2 02/04 & others,Lijian-1,StatusActive,15.0,Success
IRGC,"Shahrud, Iran",Jan 20 2024 06:28 UTC,Soraya,Qaem 100,StatusActive,10.0,Success
SpaceX,"Kennedy Space Center, USA",Jan 18 2024 21:49 UTC,Axiom Mission 3,Falcon 9 Block 5,StatusActive,160.0,Success
CASC,"Wenchang, China",Jan 17 2024 14:27 UTC,Tianzhou 7,Long March 7,StatusActive,60.0,Success
SpaceX,"Cape Canaveral, USA",Jan 15 2024 01:52 UTC,Starlink Group 6-37,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Vandenberg, USA",Jan 14 2024 08:59 UTC,Starlink Group 7-10,Falcon 9 Block 5,StatusActive,52.0,Success
MHI,"Tanegashima, Japan",Jan 12 2024 04:44 UTC,IGS Optical 8,H-IIA 202,StatusRetired,90.0,Success
Orienspace,"Yellow Sea, China",Jan 11 2024 05:30 UTC,Yunyao-1 18-20,Gravity-1,StatusActive,20.0,Success
ExPace,"Jiuquan, China",Jan 11 2024 03:52 UTC,Tianxing-1 02,Kuaizhou 1A,StatusActive,6.0,Success
CASC,"Xichang, China",Jan 09 2024 07:03 UTC,Einstein Probe,Long March 2C,StatusActive,25.0,Success
ULA,"Cape Canaveral, USA",Jan 08 2024 07:18 UTC,Cert-1 (Peregrine 1),Vulcan VC2S,StatusActive,110.0,Success
SpaceX,"Cape Canaveral, USA",Jan 07 2024 22:35 UTC,Starlink Group 6-35,Falcon 9 Block 5,StatusActive,52.0,Success
ExPace,"Jiuquan, China",Jan 05 2024 11:20 UTC,Tianmu-1 15-18,Kuaizhou 1A,StatusActive,6.0,Success
SpaceX,"Cape Canaveral, USA",Jan 03 2024 23:04 UTC,Ovzon-3,Falcon 9 Block 5,StatusActive,62.0,Success
SpaceX,"Vandenberg, USA",Jan 03 2024 03:44 UTC,Starlink Group 7-9,Falcon 9 Block 5,StatusActive,52.0,Success
ISRO,"Sriharikota, India",Jan 01 2024 03:40 UTC,XPoSat / POEM-3,PSLV-DL,StatusActive,30.0,Success
CASC,"LC-3, Xichang, China",Dec 30 2023 00:13 UTC,Hulianwang Gaogui-03,Long March 3B/E,StatusActive,50.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Dec 29 2023 04:01 UTC,Starlink Group 6-36,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"LC-39A, Kennedy Space Center, FL",Dec 29 2023 01:07 UTC,USSF-52 (X-37B),Falcon Heavy,StatusActive,150.0,Success
CASC,"LC-9, Jiuquan, China",Dec 26 2023 03:26 UTC,Shiyan 24C,Long March 11,StatusActive,10.0,Success
CASC,"LC-3, Xichang, China",Dec 25 2023 01:00 UTC,Beidou-3 M25/M26,Long March 3B/E,StatusActive,50.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Dec 19 2023 04:01 UTC,Starlink Group 6-34,Falcon 9 Block 5,StatusActive,52.0,Success
Blue Origin,"Launch Site One, Texas",Dec 19 2023 16:42 UTC,NS-24 (Uncrewed),New Shepard,StatusActive,10.0,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",Dec 08 2023 08:03 UTC,Starlink Group 7-8,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"LC-9, Jiuquan, China",Dec 10 2023 01:58 UTC,Shiyan 25,Long March 4C,StatusActive,30.0,Success
CASC,"LC-9, Jiuquan, China",Dec 08 2023 23:39 UTC,Yaogan 39-05,Long March 2D,StatusActive,29.7,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Dec 07 2023 05:07 UTC,Starlink Group 6-33,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"LC-3, Xichang, China",Dec 04 2023 23:33 UTC,MisrSat-2,Long March 2C,StatusActive,25.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Dec 03 2023 04:00 UTC,Starlink Group 6-31,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",Dec 01 2023 18:19 UTC,425 Project EO/IR Sat 1,Falcon 9 Block 5,StatusActive,62.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Nov 28 2023 04:20 UTC,Starlink Group 6-30,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Nov 22 2023 07:47 UTC,Starlink Group 6-29,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",Nov 20 2023 10:30 UTC,Starlink Group 7-7,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"LC-3, Xichang, China",Nov 23 2023 10:00 UTC,Hulianwang Gaogui-02,Long March 3B/E,StatusActive,50.0,Success
SpaceX,"Starbase, Boca Chica, TX",Nov 18 2023 13:02 UTC,Starship IFT-2,Starship,StatusActive,200.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Nov 18 2023 05:05 UTC,Starlink Group 6-28,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",Nov 14 2023 16:35 UTC,Transporter-9 (Rideshare),Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Nov 12 2023 21:08 UTC,O3b mPOWER 5 & 6,Falcon 9 Block 5,StatusActive,62.0,Success
SpaceX,"LC-39A, Kennedy Space Center, FL",Nov 10 2023 01:28 UTC,SpaceX CRS-29,Falcon 9 Block 5,StatusActive,62.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Nov 08 2023 05:05 UTC,Starlink Group 6-27,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Nov 04 2023 01:37 UTC,Starlink Group 6-26,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Oct 30 2023 23:20 UTC,Starlink Group 6-25,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",Oct 29 2023 00:00 UTC,Starlink Group 7-6,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"LC-9, Jiuquan, China",Oct 26 2023 03:14 UTC,Shenzhou 17 (Crewed),Long March 2F,StatusActive,150.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Oct 22 2023 02:17 UTC,Starlink Group 6-24,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",Oct 21 2023 07:23 UTC,Starlink Group 7-5,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Oct 18 2023 00:39 UTC,Starlink Group 6-23,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Oct 13 2023 14:19 UTC,Psyche (Asteroid Mission),Falcon Heavy,StatusActive,150.0,Success
Amazon/ULA,"SLC-41, Cape Canaveral, FL",Oct 06 2023 18:06 UTC,Project Kuiper (Protoflight),Atlas V 501,StatusRetired,132.0,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",Oct 05 2023 05:43 UTC,Starlink Group 7-4,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Sep 30 2023 02:00 UTC,Starlink Group 6-19,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"LC-3, Xichang, China",Sep 26 2023 20:15 UTC,Yaogan 33-04,Long March 4C,StatusActive,30.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Sep 20 2023 03:38 UTC,Starlink Group 6-17,Falcon 9 Block 5,StatusActive,52.0,Success
Rocket Lab,"LC-1B, Mahia, NZ",Sep 19 2023 06:55 UTC,We Will Never Desert You,Electron,StatusActive,7.5,Failure
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Sep 16 2023 03:38 UTC,Starlink Group 6-16,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",Sep 12 2023 06:57 UTC,Starlink Group 7-2,Falcon 9 Block 5,StatusActive,52.0,Success
JAXA,"Tanegashima, Japan",Sep 06 2023 23:42 UTC,XRISM & SLIM (Moon Sniper),H-IIA 202,StatusRetired,90.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Sep 04 2023 02:47 UTC,Starlink Group 6-12,Falcon 9 Block 5,StatusActive,52.0,Success
